排名,名称,年份,评分,评语
1,肖申克的救赎,1994,9.7,希望让人自由。
2,霸王别姬,1993,9.6,风华绝代。
3,阿甘正传,1994,9.5,一部美国近现代史。
4,泰坦尼克号,1997,9.4,失去的才是永恒的。 
5,这个杀手不太冷,1994,9.4,怪蜀黍和小萝莉不得不说的故事。
6,美丽人生,1997,9.6,最美的谎言。
7,千与千寻,2001,9.4,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,1993,9.5,拯救一个人，就是拯救整个世界。
9,盗梦空间,2010,9.4,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,2009,9.4,永远都不能忘记你所爱的人。
11,星际穿越,2014,9.4,爱是一种力量，让我们超越时空感知它的存在。
12,楚门的世界,1998,9.3,如果再也不能见到你，祝你早安，午安，晚安。
13,海上钢琴师,1998,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,2009,9.2,英俊版憨豆，高情商版谢耳朵。
15,机器人总动员,2008,9.3,小瓦力，大人生。
16,放牛班的春天,2004,9.3,天籁一般的童声，是最接近上帝的存在。 
17,无间道,2002,9.3,香港电影史上永不过时的杰作。
18,疯狂动物城,2016,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
19,大话西游之大圣娶亲,1995,9.2,一生所爱。
20,熔炉,2011,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,教父,1972,9.3,千万不要记恨你的对手，这样会让你失去理智。
22,当幸福来敲门,2006,9.2,平民励志片。 
23,控方证人,1957,9.6,比利·怀德满分作品。
24,怦然心动,2010,9.1,真正的幸福是来自内心深处。
25,龙猫,1988,9.2,人人心中都有个龙猫，童年就永远不会消失。
26,触不可及,2011,9.3,满满温情的高雅喜剧。
27,末代皇帝,1987,9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
28,寻梦环游记,2017,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。
29,蝙蝠侠：黑暗骑士,2008,9.2,无尽的黑暗。
30,活着,1994,9.3,张艺谋最好的电影。
31,哈利·波特与魔法石,2001,9.1,童话世界的开端。
32,指环王3：王者无敌,2003,9.3,史诗的终章。
33,乱世佳人,1939,9.3,Tomorrow is another day.
34,素媛,2013,9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
35,飞屋环游记,2009,9.1,最后那些最无聊的事情，才是最值得怀念的。 
36,摔跤吧！爸爸,2016,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
37,何以为家,2018,9.1,凝视卑弱生命，用电影改变命运。
38,我不是药神,2018,9.0,对我们国家而言，这样的电影多一部是一部。
39,十二怒汉,1957,9.4,1957年的理想主义。 
40,哈尔的移动城堡,2004,9.1,带着心爱的人在天空飞翔。
41,少年派的奇幻漂流,2012,9.1,瑰丽壮观、无人能及的冒险之旅。
42,鬼子来了,2000,9.3,对敌人的仁慈，就是对自己残忍。
43,大话西游之月光宝盒,1995,9.0,旷古烁今。
44,天空之城,1986,9.1,对天空的追逐，永不停止。 
45,猫鼠游戏,2002,9.1,骗子大师和执著警探的你追我跑故事。 
46,天堂电影院,1988,9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
47,闻香识女人,1992,9.1,史上最美的探戈。
48,指环王2：双塔奇兵,2002,9.2,承前启后的史诗篇章。
49,罗马假日,1953,9.1,爱情哪怕只有一天。
50,钢琴家,2002,9.2,音乐能化解仇恨。
51,让子弹飞,2010,8.9,你给我翻译翻译，神马叫做TMD的惊喜。
52,指环王1：护戒使者,2001,9.1,传说的开始。
53,辩护人,2013,9.2,电影的现实意义大过电影本身。
54,大闹天宫,1961,9.4,经典之作，历久弥新。
55,黑客帝国,1999,9.1,视觉革命。
56,海蒂和爷爷,2015,9.3,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
